trial_id,component_id,is_true,exact_mode_norm,ssl_clean,ssl_perturbed,esl,rsln_clean,rsln_perturbed,reln,snr_db,noise_model
0,0,0,1.001344384,1.00131939,1.001316838,0.010412435,0.99997504,0.999972491,0.010398455,0,gaussian
0,1,0,0.995246572,0.995219832,0.99521674,0.045035526,0.999973133,0.999970026,0.045250621,0,gaussian
0,2,0,0.996961176,0.996929835,0.99693328,0.015413981,0.999968563,0.999972019,0.015460964,0,gaussian
0,3,0,0.996329886,0.996305493,0.99629455,0.018815383,0.999975517,0.999964534,0.018884692,0,gaussian
0,4,0,0.992386769,0.992363207,0.992356635,0.079737041,0.999976256,0.999969634,0.080348754,0,gaussian
0,5,0,0.995962638,0.995936268,0.995927163,0.029698501,0.999973523,0.999964381,0.029818891,0,gaussian
0,6,0,0.99640336,0.996249194,0.996274354,0.014879946,0.999845278,0.999870528,0.014933657,0,gaussian
0,7,0,0.994284496,0.99414339,0.994142203,0.206555106,0.999858083,0.999856889,0.207742459,0,gaussian
0,8,0,0.99558378,0.99453947,0.994356011,0.018059575,0.998951058,0.998766785,0.018139684,0,gaussian
0,9,0,0.996746733,0.995820473,0.99607336,0.074052515,0.999070718,0.999324429,0.074294214,0,gaussian
0,10,1,0.964118578,0.092637339,0.005269196,0.003738906,0.096085005,0.005465299,0.003878056,0,gaussian
0,11,1,0.968080372,0.11774423,0.005257009,0.003742677,0.121626502,0.005430344,0.003866081,0,gaussian
0,12,1,0.963852364,0.124547696,0.006717775,0.005677145,0.129218644,0.006969714,0.005890056,0,gaussian
0,13,1,0.967634635,0.128924137,0.006801291,0.004942753,0.133236381,0.00702878,0.005108078,0,gaussian
0,14,1,0.966483293,0.146907382,0.007159623,0.005842942,0.152001988,0.007407912,0.00604557,0,gaussian
1,0,0,0.994785673,0.994751411,0.994756397,0.087549844,0.999965559,0.999970571,0.08800875,0,gaussian
1,1,0,0.992532139,0.992510457,0.992514493,0.119785415,0.999978155,0.999982222,0.120686687,0,gaussian
1,2,0,0.997405655,0.997392674,0.997388291,0.010654757,0.999986986,0.999982591,0.010682471,0,gaussian
1,3,0,0.99581371,0.995757223,0.995758348,0.029386967,0.999943276,0.999944405,0.029510506,0,gaussian
1,4,0,0.996140002,0.996108475,0.996104551,0.050731839,0.999968351,0.999964411,0.050928422,0,gaussian
1,5,0,0.99423211,0.994175592,0.994176914,0.078285673,0.999943154,0.999944484,0.078739836,0,gaussian
1,6,0,0.99404367,0.99398908,0.993984592,0.047100532,0.999945082,0.999940567,0.047382759,0,gaussian
1,7,0,0.997970409,0.997924473,0.997877959,0.022695072,0.99995397,0.999907362,0.022741228,0,gaussian
1,8,0,0.99673774,0.996701273,0.996689068,0.035659279,0.999963413,0.999951168,0.03577599,0,gaussian
1,9,0,0.988644585,0.988013664,0.98816357,0.284724857,0.999361832,0.99951346,0.287995162,0,gaussian
1,10,1,0.962938858,0.107973577,0.005465567,0.004687318,0.112129213,0.005675923,0.004867721,0,gaussian
1,11,1,0.961125212,0.103109993,0.006627243,0.005072466,0.107280499,0.006895296,0.005277632,0,gaussian
1,12,1,0.968174177,0.138639546,0.006098656,0.005222728,0.143196905,0.006299131,0.00539441,0,gaussian
1,13,1,0.959381182,0.1362749,0.008498157,0.007472625,0.142044584,0.008857956,0.007789006,0,gaussian
1,14,1,0.964068033,0.135629993,0.007345827,0.007187579,0.140685085,0.007619615,0.007455468,0,gaussian
2,0,0,0.994029434,0.994011247,0.994008326,0.056676341,0.999981703,0.999978765,0.057016763,0,gaussian
2,1,0,0.998151667,0.998129776,0.998119624,0.011085621,0.999978069,0.999967898,0.011106149,0,gaussian
2,2,0,0.996323333,0.996302243,0.996294042,0.023242593,0.999978832,0.9999706,0.023328364,0,gaussian
2,3,0,0.998383099,0.99835802,0.99835458,0.028292516,0.99997488,0.999971435,0.028338337,0,gaussian
2,4,0,0.994210785,0.994202297,0.994200347,0.053878944,0.999991462,0.9999895,0.054192677,0,gaussian
2,5,0,0.997696881,0.997680176,0.997688738,0.186818628,0.999983256,0.999991838,0.187249887,0,gaussian
2,6,0,0.994459957,0.994336553,0.994365729,0.067703856,0.999875909,0.999905247,0.068081028,0,gaussian
2,7,0,0.996032729,0.995931681,0.995931488,0.026646259,0.999898549,0.999898355,0.026752393,0,gaussian
2,8,0,0.996790292,0.996240853,0.99617888,0.018816658,0.999448791,0.999386619,0.018877249,0,gaussian
2,9,0,0.994731853,0.993258755,0.993808094,0.083593126,0.9985191,0.999071349,0.084035839,0,gaussian
2,10,1,0.963654167,0.116052479,0.005811566,0.004537023,0.120429593,0.006030759,0.004708145,0,gaussian
2,11,1,0.963362729,0.104814471,0.006454255,0.004738993,0.108800629,0.006699714,0.004919219,0,gaussian
2,12,1,0.969177127,0.14976909,0.008676027,0.005202592,0.154532217,0.008951952,0.00536805,0,gaussian
2,13,1,0.966305807,0.129318705,0.007665766,0.005794549,0.133827929,0.007933064,0.0059966,0,gaussian
2,14,1,0.962709835,0.146150693,0.00967206,0.006626296,0.151811779,0.010046703,0.006882963,0,gaussian
3,0,0,0.99177098,0.991727924,0.991735733,0.104540247,0.999956587,0.999964461,0.105407649,0,gaussian
3,1,0,0.996626925,0.996601105,0.996598017,0.045818936,0.999974092,0.999970994,0.045974009,0,gaussian
3,2,0,0.997142753,0.997115832,0.997114137,0.021917936,0.999973002,0.999971302,0.021980741,0,gaussian
3,3,0,0.993674486,0.993654777,0.993646192,0.080222832,0.999980165,0.999971525,0.080733513,0,gaussian
3,4,0,0.997139627,0.99712382,0.997129414,0.029282092,0.999984148,0.999989758,0.02936609,0,gaussian
3,5,0,0.994436438,0.994394685,0.994410191,0.020457901,0.999958014,0.999973607,0.020572356,0,gaussian
3,6,0,0.988232067,0.98815422,0.988187791,0.686100842,0.999921226,0.999955196,0.694270977,0,gaussian
3,7,0,0.994955028,0.994715684,0.99469961,0.043984281,0.999759443,0.999743287,0.044207306,0,gaussian
3,8,0,0.99017602,0.99004401,0.990019601,0.237260483,0.99986668,0.999842029,0.23961445,0,gaussian
3,9,0,0.998657741,0.997524659,0.998078788,0.02989615,0.998865394,0.999420268,0.029936332,0,gaussian
3,10,1,0.964355508,0.112624188,0.005577897,0.003913739,0.116787001,0.005784067,0.004058399,0,gaussian
3,11,1,0.962961453,0.09712141,0.007040111,0.004122386,0.100857007,0.007310895,0.004280946,0,gaussian
3,12,1,0.963546105,0.133908851,0.007854797,0.005892504,0.138975032,0.008151967,0.006115436,0,gaussian
3,13,1,0.96478868,0.144011076,0.007695774,0.00525415,0.149266962,0.007976642,0.005445908,0,gaussian
3,14,1,0.962998853,0.145565881,0.008235911,0.006691402,0.151158935,0.008552358,0.006948505,0,gaussian
4,0,0,0.994851767,0.994838594,0.994837236,0.065508827,0.999986758,0.999985394,0.065847827,0,gaussian
4,1,0,0.993595112,0.993571587,0.993565003,0.118656005,0.999976324,0.999969698,0.119420882,0,gaussian
4,2,0,0.998039331,0.998017708,0.99801933,0.013417135,0.999978334,0.999979959,0.013443493,0,gaussian
4,3,0,0.99554819,0.995510411,0.995514246,0.045065683,0.999962051,0.999965904,0.045267204,0,gaussian
4,4,0,0.994580632,0.994516444,0.994527257,0.032925203,0.999935462,0.999946334,0.033104609,0,gaussian
