L,mc_iter,mode_index,eigenvalue_magnitude,eigenvalue_real,eigenvalue_imag,mode_type,spatial_dim,num_timesteps,N_cols,num_modes,max_rank,signal_eigenvalue_magnitude,frequency_separation,snr_db,top_amplitude,noise_mode,random_seed
2,0,3,0.3509158253375648,-0.2421386322125638,0.2539897621215727,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2196
2,0,4,0.31428173267808435,0.22479957518740035,-0.21963187038930207,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2196
2,0,5,0.4004757802277484,-0.16506929507070814,-0.3648739212027674,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2196
2,0,6,0.29134357969582014,0.0289483133517188,-0.2899018395665426,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2196
2,1,3,0.19131688601039987,0.007273611632173916,-0.19117856952739404,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2197
2,1,4,0.3753039452996888,-0.37329800235627497,-0.038751165070566744,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2197
2,1,5,0.37395774484051725,-0.29433433120571395,0.23067660566232212,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2197
2,1,6,0.39351421909098694,0.016356354453037174,0.3931741475425309,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2197
2,2,3,0.5200192316448159,-0.5013060546316356,-0.1382470284314577,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2198
2,2,4,0.26979837087690894,-0.16451322399813756,0.21383769559545093,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2198
2,2,5,0.44447405724056716,0.37391287569254905,-0.2403047002270644,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2198
2,2,6,0.463145054846722,0.09315554845723326,-0.45367982721364764,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2198
2,3,3,0.41229818118939243,-0.10623309998578727,-0.39837710611867594,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2199
2,3,4,0.460383915905193,-0.29079082670959894,-0.3569230240902761,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2199
2,3,5,0.36689231199900973,-0.34219609247223487,0.1323321688052924,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2199
2,3,6,0.14512213574096178,-0.025500335485248743,0.14286415635896185,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2199
2,4,3,0.39176935031161336,0.17590574961087285,-0.3500576968121406,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2200
2,4,4,0.40919961677560046,-0.39524833115550845,-0.10593905364917967,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2200
2,4,5,0.37633832527348526,-0.21414918015747866,0.30946835655286525,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2200
2,4,6,0.425237725950932,-0.06978486479740072,0.4194725214088862,spurious,45,200,198,3,7,0.99,0.02,40.0,1.0,gaussian,2200
